"Name","Created","Runtime","End Time","Hostname","ID","Notes","GPU Type","State","Updated","Tags","CKAS/layer1","CKAS/layer2","CKAS/layer3","CKAS/layer4","CKAS/layer5","CKAS/layer6","TEST/accuracy","TRAIN/accuracy","TRAIN/loss"
"vgg16 imagenet shuffle_degree: 9 2 fintuning with 5000 samples","2024-01-16T10:53:26.000Z","11870","2024-01-16T14:11:16.000Z","matar","1tjt7r16","-","NVIDIA TITAN RTX","finished","2024-01-16T14:11:16.000Z","","0.9863967580410696","0.9909239101651136","0.9803001026655628","0.9488938462873964","0.787762347885206","0.2791626700085339","0","64.02","1.3601336103336068"
"vgg16 imagenet shuffle_degree: 4 2 fintuning with 5000 samples","2024-01-16T10:23:39.000Z","11797","2024-01-16T13:40:16.000Z","matar","21sthn2z","-","NVIDIA TITAN RTX","finished","2024-01-16T13:40:16.000Z","","0.9863967580410696","0.9909239101651136","0.9803001026655628","0.9488938462873964","0.787762347885206","0.2791626700085339","0","64.02","1.3601336103336068"
"resnet18 imagenet 4 fintuning with 5000 samples","2024-01-16T10:18:23.000Z","2180","2024-01-16T10:54:43.000Z","risha","2ierrweb","-","NVIDIA TITAN RTX","finished","2024-01-16T10:54:43.000Z","","0.999073148022284","0.9973057895328388","0.9985955117315533","0.9892658269538882","0.8639896135091577","0.49591139798533695","0","99.82","0.039378751176083165"
"resnet18 imagenet 3 fintuning with 5000 samples","2024-01-16T09:41:50.000Z","2186","2024-01-16T10:18:16.000Z","risha","2bmov6t7","-","NVIDIA TITAN RTX","finished","2024-01-16T10:18:16.000Z","","0.9987285725097864","0.9981107095461722","0.9985014229197108","0.982091702199994","0.8569426276299561","0.485228033391673","0","99.82","0.04090888425707817"
"resnet18 imagenet 2 fintuning with 5000 samples","2024-01-16T09:05:21.000Z","2182","2024-01-16T09:41:43.000Z","risha","2tjydtaf","-","NVIDIA TITAN RTX","finished","2024-01-16T09:41:43.000Z","","0.9986924430715252","0.9959053825075628","0.9955797482333588","0.9887299232687282","0.7538709056782419","0.33669311160245097","0","99.82","0.04695982709052456"
"resnet18 imagenet 1 fintuning with 5000 samples","2024-01-16T08:29:31.000Z","2143","2024-01-16T09:05:14.000Z","risha","183cswzv","-","NVIDIA TITAN RTX","finished","2024-01-16T09:05:14.000Z","","0.9991162498874504","0.9951268782287852","0.9981542327897096","0.9814525118474854","0.860923825103908","0.4702173337415342","0","99.84","0.037132937247586095"
"vgg16 imagenet shuffle_degree: 9 1 fintuning with 5000 samples","2024-01-16T07:57:22.000Z","10545","2024-01-16T10:53:07.000Z","matar","2pr11q5v","-","NVIDIA TITAN RTX","finished","2024-01-16T10:53:07.000Z","","0.9841983880184836","0.989387684633162","0.9806285566633072","0.9665166729615476","0.8891779711643917","0.2768134290856686","0","62.32","1.4888332440594958"
"vgg16 imagenet shuffle_degree: 4 1 fintuning with 5000 samples","2024-01-16T07:34:19.000Z","10143","2024-01-16T10:23:22.000Z","matar","34bqgzuh","-","NVIDIA TITAN RTX","finished","2024-01-16T10:23:22.000Z","","0.9841983880184836","0.989387684633162","0.9806285566633072","0.9665166729615476","0.8891779711643917","0.2768134290856686","0","62.32","1.4888332440594958"
"vgg16 imagenet shuffle_degree: 2 5 fintuning with 5000 samples","2024-01-16T04:42:11.000Z","11676","2024-01-16T07:56:47.000Z","matar","3cwc5itv","-","NVIDIA TITAN RTX","finished","2024-01-16T07:56:47.000Z","","0.9818129843276888","0.99065016443064","0.9821882081759952","0.9604152268661554","0.8558027297255039","0.2843277206640075","0","61.78","1.4459149955184596"
"resnet18 imagenet shuffle_degree: 9 5 fintuning with 5000 samples","2024-01-16T04:20:48.000Z","5102","2024-01-16T05:45:50.000Z","risha","22z4e1jk","-","NVIDIA TITAN RTX","finished","2024-01-16T05:45:50.000Z","","0.9989428816409316","0.9959397180981466","0.9979186755521062","0.9843244778855468","0.8606289876652686","0.4545645033624596","0","99.82","0.03987855363376201"
